SITE_ID,General classification,State,Data source/network,Period of record,Energy balance,Latitude,Longitude,Elevation (m),Land cover details,Land cover type,Measurement technique,Contact for sites not downloaded from AmeriFlux network,Contact email,DOI,Team member,Member role,Member institution,Member email,Site name
US-Ro6,Croplands,MN,AmeriFlux,03/2017-12/2017,0.802524967752314,44.6946,-93.05776,282.0,Corn/soybean/clover rotation,Annual crops,Eddy covariance,,,10.17190/AMF/1419509,John Baker,PI,USDA-ARS,john.baker@ars.usda.gov,Rosemount I18_North
US-Ro1,Croplands,MN,AmeriFlux,01/2011-12/2016,0.77851326572542,44.7143,-93.0898,260.0,"Agricultural, corn and soybean rotation",Annual crops,Eddy covariance,,,10.17190/AMF/1246092,John Baker,PI,USDA-ARS,john.baker@ars.usda.gov,Rosemount- G21
US-Tw3,Croplands,CA,AmeriFlux,05/2013-06/2018,0.852312638208744,38.1159,-121.6467,-9.0,Alfalfa,Annual crops,Eddy covariance,,,10.17190/AMF/1246149,Dennis Baldocchi,PI,"University of California, Berkeley",baldocchi@berkeley.edu,Twitchell Alfalfa
US-Dk1,Croplands,NC,AmeriFlux,01/2006-11/2008,0.874421087341311,35.9712,-79.09338,168.0,Grass (Festuca arundinacea),Annual crops,Eddy covariance,,,10.17190/AMF/1246046,Chris Oishi,PI,USDA Forest Service,christopher.oishi@gmail.com,Duke Forest-open field
US-Tw2,Croplands,CA,AmeriFlux,05/2012-04/2013,0.770813671011494,38.1047,-121.6433,-5.0,Corn on peat soil,Annual crops,Eddy covariance,,,10.17190/AMF/1246148,Dennis Baldocchi,PI,"University of California, Berkeley",baldocchi@berkeley.edu,Twitchell Corn
US-Bo1,Croplands,IL,AmeriFlux,08/1996-04/2008,0.841126809259668,40.0062,-88.2904,219.0,"Corn (2005, 2007) and soy rotation (2006, 2008), no-till",Annual crops,Eddy covariance,,,10.17190/AMF/1246036,Tilden Meyers,PI,NOAA/ARL,Tilden.Meyers@noaa.gov,Bondville
Almond_Low,Croplands,CA,USDA-ARS,10/2016-10/2019,0.837194024679433,36.946608,-120.10237,78.0,Almond,Orchards,Eddy covariance,Ray Anderson,ray.anderson@usda.gov,,,,,,
US-Bkg,Croplands,SD,AmeriFlux,04/2004-03/2010,0.994776351626814,44.34529,-96.83617,510.0,Native grass pasture,Annual crops,Eddy covariance,,,10.17190/AMF/1246040,Tilden Meyers,PI,NOAA/ARL,Tilden.Meyers@noaa.gov,Brookings
US-Bi2,Croplands,CA,AmeriFlux,04/2017-07/2020,0.799734466206403,38.109,-121.535,-4.98,Corn,Annual crops,Eddy covariance,,,10.17190/AMF/1419513,Dennis Baldocchi,PI,"University of California, Berkeley",baldocchi@berkeley.edu,Bouldin Island corn
BAR012,Croplands,CA,USDA-ARS GRAPEX,05/2017-11/2018,0.851117551164469,38.751,-122.975,102.0,Vineyard,Vineyards,Eddy covariance,William Kustas,bill.kustas@usda.gov,,,,,,
US-OF6,Croplands,AR,Delta-Flux,5/2018-8/2018,0.779328672384337,35.729972,-90.0403329999999,70.0,Rice,Annual crops,Eddy covariance,Benjamin Runkle,brrunkle@uark.edu,,,,,,
US-xSL,Croplands,CO,AmeriFlux,06/2017-05/2020,0.776604057021581,40.4619,-103.0293,1364.0,"Winter wheat, millet, and maize, no-till",Annual crops,Eddy covariance,,,10.17190/AMF/1617735,Cove Sturtevant,PI,NEON,csturtevant@battelleecology.org,"NEON North Sterling, CO (STER)"
SLM001,Croplands,CA,USDA-ARS GRAPEX,01/2017-11/2018,0.942383009778022,38.289,-121.118,39.0,Vineyard,Vineyards,Eddy covariance,William Kustas,bill.kustas@usda.gov,,,,,,
US-AR1,Croplands,OK,AmeriFlux,06/2009-12/2012,1.08952725313803,36.4267,-99.42,611.0,Planted Switchgrass,Annual crops,Eddy covariance,,,10.17190/AMF/1246137,Dave Billesbach,PI,University of Nebraska,dbillesbach1@unl.edu,ARM USDA UNL OSU Woodward Switchgrass 1
US-OF1,Croplands,AR,Delta-Flux,5/2017-9/2017,0.837238970755243,35.7370669999999,-90.0492,70.0,Rice,Annual crops,Eddy covariance,Benjamin Runkle,brrunkle@uark.edu,,,,,,
Ellendale,Croplands,LA,Delta-Flux,8/2018-12/2020,0.77,29.633321,-90.827662,2.0,Sugarcane,Annual crops,Eddy covariance,Benjamin Runkle,brrunkle@uark.edu,,,,,,
US-Mj1,Croplands,MT,AmeriFlux,04/2013-09/2014,0.943855057121669,46.99475,-109.61375,1285.0,Wheat,Annual crops,Eddy covariance,,,10.17190/AMF/1617715,Paul C. Stoy,PI,Montana State University,paul.stoy@montana.edu,Montana Judith Basin wheat field
US-OF2,Croplands,AR,Delta-Flux,6/2017-9/2017,0.757823427471994,35.7406,-90.0489,70.0,Rice,Annual crops,Eddy covariance,Benjamin Runkle,brrunkle@uark.edu,,,,,,
Almond_High,Croplands,CA,USDA-ARS,10/2016-10/2019,0.827785813224454,36.169669,-120.201004,147.0,Almond,Orchards,Eddy covariance,Ray Anderson,ray.anderson@usda.gov,,,,,,
US-Mj2,Croplands,MT,AmeriFlux,04/2014-09/2014,1.03375092508742,46.9957,-109.6295,1277.0,Summer fallow,Annual crops,Eddy covariance,,,10.17190/AMF/1617716,Paul C. Stoy,PI,Montana State University,paul.stoy@montana.edu,Montana Judith Basin summer fallow field
US-OF4,Croplands,AR,Delta-Flux,5/2018-8/2018,0.894995199607543,35.734346,-90.037982,71.0,Rice,Annual crops,Eddy covariance,Benjamin Runkle,brrunkle@uark.edu,,,,,,
